Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2019-09-21;Burnley;2–0;Norwich City;Relatório da Partida;2019;2;0
2019-09-21;Newcastle Utd;0–0;Brighton;Relatório da Partida;2019;0;0
2019-09-22;Crystal Palace;1–1;Wolves;Relatório da Partida;2019;1;1
2019-09-22;West Ham;2–0;Manchester Utd;Relatório da Partida;2019;2;0
2019-09-22;Chelsea;1–2;Liverpool;Relatório da Partida;2019;1;2
2019-09-22;Arsenal;3–2;Aston Villa;Relatório da Partida;2019;3;2
2019-09-28;Sheffield Utd;0–1;Liverpool;Relatório da Partida;2019;0;1
2019-09-28;Chelsea;2–0;Brighton;Relatório da Partida;2019;2;0
2019-09-28;Tottenham;2–1;Southampton;Relatório da Partida;2019;2;1
2019-09-28;Aston Villa;2–2;Burnley;Relatório da Partida;2019;2;2
2019-09-28;Crystal Palace;2–0;Norwich City;Relatório da Partida;2019;2;0
2019-09-28;Wolves;2–0;Watford;Relatório da Partida;2019;2;0
2019-09-28;Bournemouth;2–2;West Ham;Relatório da Partida;2019;2;2
2019-09-28;Everton;1–3;Manchester City;Relatório da Partida;2019;1;3
2019-09-29;Leicester City;5–0;Newcastle Utd;Relatório da Partida;2019;5;0
2019-09-30;Manchester Utd;1–1;Arsenal;Relatório da Partida;2019;1;1
2019-10-05;Brighton;3–0;Tottenham;Relatório da Partida;2019;3;0
2019-10-05;Watford;0–0;Sheffield Utd;Relatório da Partida;2019;0;0
2019-10-05;Burnley;1–0;Everton;Relatório da Partida;2019;1;0
2019-10-05;Liverpool;2–1;Leicester City;Relatório da Partida;2019;2;1
2019-10-05;Norwich City;1–5;Aston Villa;Relatório da Partida;2019;1;5
2019-10-05;West Ham;1–2;Crystal Palace;Relatório da Partida;2019;1;2
2019-10-06;Manchester City;0–2;Wolves;Relatório da Partida;2019;0;2
2019-10-06;Southampton;1–4;Chelsea;Relatório da Partida;2019;1;4
2019-10-06;Arsenal;1–0;Bournemouth;Relatório da Partida;2019;1;0
2019-10-06;Newcastle Utd;1–0;Manchester Utd;Relatório da Partida;2019;1;0
2019-10-19;Everton;2–0;West Ham;Relatório da Partida;2019;2;0
2019-10-19;Aston Villa;2–1;Brighton;Relatório da Partida;2019;2;1
2019-10-19;Leicester City;2–1;Burnley;Relatório da Partida;2019;2;1
2019-10-19;Tottenham;1–1;Watford;Relatório da Partida;2019;1;1
2019-10-19;Wolves;1–1;Southampton;Relatório da Partida;2019;1;1
2019-10-19;Chelsea;1–0;Newcastle Utd;Relatório da Partida;2019;1;0
2019-10-19;Bournemouth;0–0;Norwich City;Relatório da Partida;2019;0;0
2019-10-19;Crystal Palace;0–2;Manchester City;Relatório da Partida;2019;0;2
2019-10-20;Manchester Utd;1–1;Liverpool;Relatório da Partida;2019;1;1
2019-10-21;Sheffield Utd;1–0;Arsenal;Relatório da Partida;2019;1;0
2019-10-25;Southampton;0–9;Leicester City;Relatório da Partida;2019;0;9
2019-10-26;Manchester City;3–0;Aston Villa;Relatório da Partida;2019;3;0
2019-10-26;Watford;0–0;Bournemouth;Relatório da Partida;2019;0;0
2019-10-26;West Ham;1–1;Sheffield Utd;Relatório da Partida;2019;1;1
2019-10-26;Brighton;3–2;Everton;Relatório da Partida;2019;3;2
2019-10-26;Burnley;2–4;Chelsea;Relatório da Partida;2019;2;4
2019-10-27;Newcastle Utd;1–1;Wolves;Relatório da Partida;2019;1;1
2019-10-27;Arsenal;2–2;Crystal Palace;Relatório da Partida;2019;2;2
2019-10-27;Liverpool;2–1;Tottenham;Relatório da Partida;2019;2;1
2019-10-27;Norwich City;1–3;Manchester Utd;Relatório da Partida;2019;1;3
2019-11-02;Bournemouth;1–0;Manchester Utd;Relatório da Partida;2019;1;0
2019-11-02;Sheffield Utd;3–0;Burnley;Relatório da Partida;2019;3;0
2019-11-02;Brighton;2–0;Norwich City;Relatório da Partida;2019;2;0
2019-11-02;Aston Villa;1–2;Liverpool;Relatório da Partida;2019;1;2
2019-11-02;Arsenal;1–1;Wolves;Relatório da Partida;2019;1;1
2019-11-02;West Ham;2–3;Newcastle Utd;Relatório da Partida;2019;2;3
2019-11-02;Manchester City;2–1;Southampton;Relatório da Partida;2019;2;1
2019-11-02;Watford;1–2;Chelsea;Relatório da Partida;2019;1;2
2019-11-03;Crystal Palace;0–2;Leicester City;Relatório da Partida;2019;0;2
2019-11-03;Everton;1–1;Tottenham;Relatório da Partida;2019;1;1
2019-11-08;Norwich City;0–2;Watford;Relatório da Partida;2019;0;2
2019-11-09;Chelsea;2–0;Crystal Palace;Relatório da Partida;2019;2;0
2019-11-09;Southampton;1–2;Everton;Relatório da Partida;2019;1;2
2019-11-09;Burnley;3–0;West Ham;Relatório da Partida;2019;3;0
2019-11-09;Newcastle Utd;2–1;Bournemouth;Relatório da Partida;2019;2;1
2019-11-09;Tottenham;1–1;Sheffield Utd;Relatório da Partida;2019;1;1
2019-11-09;Leicester City;2–0;Arsenal;Relatório da Partida;2019;2;0
2019-11-10;Manchester Utd;3–1;Brighton;Relatório da Partida;2019;3;1
2019-11-10;Wolves;2–1;Aston Villa;Relatório da Partida;2019;2;1
2019-11-10;Liverpool;3–1;Manchester City;Relatório da Partida;2019;3;1
2019-11-23;West Ham;2–3;Tottenham;Relatório da Partida;2019;2;3
2019-11-23;Crystal Palace;1–2;Liverpool;Relatório da Partida;2019;1;2
2019-11-23;Arsenal;2–2;Southampton;Relatório da Partida;2019;2;2
2019-11-23;Bournemouth;1–2;Wolves;Relatório da Partida;2019;1;2
2019-11-23;Everton;0–2;Norwich City;Relatório da Partida;2019;0;2
2019-11-23;Brighton;0–2;Leicester City;Relatório da Partida;2019;0;2
2019-11-23;Watford;0–3;Burnley;Relatório da Partida;2019;0;3
2019-11-23;Manchester City;2–1;Chelsea;Relatório da Partida;2019;2;1
2019-11-24;Sheffield Utd;3–3;Manchester Utd;Relatório da Partida;2019;3;3
2019-11-25;Aston Villa;2–0;Newcastle Utd;Relatório da Partida;2019;2;0
2019-11-30;Newcastle Utd;2–2;Manchester City;Relatório da Partida;2019;2;2
2019-11-30;Tottenham;3–2;Bournemouth;Relatório da Partida;2019;3;2
2019-11-30;Liverpool;2–1;Brighton;Relatório da Partida;2019;2;1
2019-11-30;Burnley;0–2;Crystal Palace;Relatório da Partida;2019;0;2
2019-11-30;Chelsea;0–1;West Ham;Relatório da Partida;2019;0;1
2019-11-30;Southampton;2–1;Watford;Relatório da Partida;2019;2;1
2019-12-01;Norwich City;2–2;Arsenal;Relatório da Partida;2019;2;2
2019-12-01;Wolves;1–1;Sheffield Utd;Relatório da Partida;2019;1;1
2019-12-01;Leicester City;2–1;Everton;Relatório da Partida;2019;2;1
2019-12-01;Manchester Utd;2–2;Aston Villa;Relatório da Partida;2019;2;2
2019-12-03;Crystal Palace;1–0;Bournemouth;Relatório da Partida;2019;1;0
2019-12-03;Burnley;1–4;Manchester City;Relatório da Partida;2019;1;4
2019-12-04;Wolves;2–0;West Ham;Relatório da Partida;2019;2;0
2019-12-04;Southampton;2–1;Norwich City;Relatório da Partida;2019;2;1
2019-12-04;Chelsea;2–1;Aston Villa;Relatório da Partida;2019;2;1
2019-12-04;Manchester Utd;2–1;Tottenham;Relatório da Partida;2019;2;1
2019-12-04;Leicester City;2–0;Watford;Relatório da Partida;2019;2;0
2019-12-04;Liverpool;5–2;Everton;Relatório da Partida;2019;5;2
2019-12-05;Sheffield Utd;0–2;Newcastle Utd;Relatório da Partida;2019;0;2
2019-12-05;Arsenal;1–2;Brighton;Relatório da Partida;2019;1;2
2019-12-07;Everton;3–1;Chelsea;Relatório da Partida;2019;3;1
2019-12-07;Tottenham;5–0;Burnley;Relatório da Partida;2019;5;0
2019-12-07;Watford;0–0;Crystal Palace;Relatório da Partida;2019;0;0
2019-12-07;Bournemouth;0–3;Liverpool;Relatório da Partida;2019;0;3
2019-12-07;Manchester City;1–2;Manchester Utd;Relatório da Partida;2019;1;2
2019-12-08;Norwich City;1–2;Sheffield Utd;Relatório da Partida;2019;1;2
2019-12-08;Aston Villa;1–4;Leicester City;Relatório da Partida;2019;1;4
2019-12-08;Newcastle Utd;2–1;Southampton;Relatório da Partida;2019;2;1
2019-12-08;Brighton;2–2;Wolves;Relatório da Partida;2019;2;2
2019-12-09;West Ham;1–3;Arsenal;Relatório da Partida;2019;1;3
2019-12-14;Liverpool;2–0;Watford;Relatório da Partida;2019;2;0
2019-12-14;Leicester City;1–1;Norwich City;Relatório da Partida;2019;1;1
2019-12-14;Burnley;1–0;Newcastle Utd;Relatório da Partida;2019;1;0
2019-12-14;Sheffield Utd;2–0;Aston Villa;Relatório da Partida;2019;2;0
2019-12-14;Chelsea;0–1;Bournemouth;Relatório da Partida;2019;0;1
2019-12-14;Southampton;0–1;West Ham;Relatório da Partida;2019;0;1
2019-12-15;Manchester Utd;1–1;Everton;Relatório da Partida;2019;1;1
2019-12-15;Wolves;1–2;Tottenham;Relatório da Partida;2019;1;2
2019-12-15;Arsenal;0–3;Manchester City;Relatório da Partida;2019;0;3
2019-12-16;Crystal Palace;1–1;Brighton;Relatório da Partida;2019;1;1
2019-12-21;Everton;0–0;Arsenal;Relatório da Partida;2019;0;0
2019-12-21;Norwich City;1–2;Wolves;Relatório da Partida;2019;1;2
2019-12-21;Brighton;0–1;Sheffield Utd;Relatório da Partida;2019;0;1
2019-12-21;Newcastle Utd;1–0;Crystal Palace;Relatório da Partida;2019;1;0
2019-12-21;Aston Villa;1–3;Southampton;Relatório da Partida;2019;1;3
2019-12-21;Bournemouth;0–1;Burnley;Relatório da Partida;2019;0;1
2019-12-21;Manchester City;3–1;Leicester City;Relatório da Partida;2019;3;1
2019-12-22;Watford;2–0;Manchester Utd;Relatório da Partida;2019;2;0
2019-12-22;Tottenham;0–2;Chelsea;Relatório da Partida;2019;0;2
2019-12-26;Tottenham;2–1;Brighton;Relatório da Partida;2019;2;1
2019-12-26;Aston Villa;1–0;Norwich City;Relatório da Partida;2019;1;0
2019-12-26;Crystal Palace;2–1;West Ham;Relatório da Partida;2019;2;1
2019-12-26;Bournemouth;1–1;Arsenal;Relatório da Partida;2019;1;1
2019-12-26;Sheffield Utd;1–1;Watford;Relatório da Partida;2019;1;1
2019-12-26;Everton;1–0;Burnley;Relatório da Partida;2019;1;0
2019-12-26;Chelsea;0–2;Southampton;Relatório da Partida;2019;0;2
2019-12-26;Manchester Utd;4–1;Newcastle Utd;Relatório da Partida;2019;4;1
2019-12-26;Leicester City;0–4;Liverpool;Relatório da Partida;2019;0;4
2019-12-27;Wolves;3–2;Manchester City;Relatório da Partida;2019;3;2
2019-12-28;Brighton;2–0;Bournemouth;Relatório da Partida;2019;2;0
2019-12-28;Watford;3–0;Aston Villa;Relatório da Partida;2019;3;0
2019-12-28;Newcastle Utd;1–2;Everton;Relatório da Partida;2019;1;2
2019-12-28;Southampton;1–1;Crystal Palace;Relatório da Partida;2019;1;1
2019-12-28;West Ham;1–2;Leicester City;Relatório da Partida;2019;1;2
2019-12-28;Norwich City;2–2;Tottenham;Relatório da Partida;2019;2;2
2019-12-28;Burnley;0–2;Manchester Utd;Relatório da Partida;2019;0;2
2019-12-29;Arsenal;1–2;Chelsea;Relatório da Partida;2019;1;2
2019-12-29;Liverpool;1–0;Wolves;Relatório da Partida;2019;1;0
2019-12-29;Manchester City;2–0;Sheffield Utd;Relatório da Partida;2019;2;0
2020-01-01;Brighton;1–1;Chelsea;Relatório da Partida;2019;1;1
2020-01-01;Burnley;1–2;Aston Villa;Relatório da Partida;2019;1;2
2020-01-01;Newcastle Utd;0–3;Leicester City;Relatório da Partida;2019;0;3
2020-01-01;Southampton;1–0;Tottenham;Relatório da Partida;2019;1;0
2020-01-01;Watford;2–1;Wolves;Relatório da Partida;2019;2;1
2020-01-01;Norwich City;1–1;Crystal Palace;Relatório da Partida;2019;1;1
2020-01-01;West Ham;4–0;Bournemouth;Relatório da Partida;2019;4;0
2020-01-01;Manchester City;2–1;Everton;Relatório da Partida;2019;2;1
2020-01-01;Arsenal;2–0;Manchester Utd;Relatório da Partida;2019;2;0
2020-01-02;Liverpool;2–0;Sheffield Utd;Relatório da Partida;2019;2;0
2020-01-10;Sheffield Utd;1–0;West Ham;Relatório da Partida;2019;1;0
2020-01-11;Crystal Palace;1–1;Arsenal;Relatório da Partida;2019;1;1
2020-01-11;Chelsea;3–0;Burnley;Relatório da Partida;2019;3;0
2020-01-11;Everton;1–0;Brighton;Relatório da Partida;2019;1;0
2020-01-11;Leicester City;1–2;Southampton;Relatório da Partida;2019;1;2
2020-01-11;Wolves;1–1;Newcastle Utd;Relatório da Partida;2019;1;1
2020-01-11;Manchester Utd;4–0;Norwich City;Relatório da Partida;2019;4;0
2020-01-11;Tottenham;0–1;Liverpool;Relatório da Partida;2019;0;1
2020-01-12;Bournemouth;0–3;Watford;Relatório da Partida;2019;0;3
2020-01-12;Aston Villa;1–6;Manchester City;Relatório da Partida;2019;1;6
2020-01-18;Watford;0–0;Tottenham;Relatório da Partida;2019;0;0
2020-01-18;Arsenal;1–1;Sheffield Utd;Relatório da Partida;2019;1;1
2020-01-18;Norwich City;1–0;Bournemouth;Relatório da Partida;2019;1;0
2020-01-18;Manchester City;2–2;Crystal Palace;Relatório da Partida;2019;2;2
2020-01-18;Southampton;2–3;Wolves;Relatório da Partida;2019;2;3
2020-01-18;Brighton;1–1;Aston Villa;Relatório da Partida;2019;1;1
2020-01-18;West Ham;1–1;Everton;Relatório da Partida;2019;1;1
2020-01-18;Newcastle Utd;1–0;Chelsea;Relatório da Partida;2019;1;0
2020-01-19;Burnley;2–1;Leicester City;Relatório da Partida;2019;2;1
2020-01-19;Liverpool;2–0;Manchester Utd;Relatório da Partida;2019;2;0
2020-01-21;Crystal Palace;0–2;Southampton;Relatório da Partida;2019;0;2
2020-01-21;Everton;2–2;Newcastle Utd;Relatório da Partida;2019;2;2
2020-01-21;Aston Villa;2–1;Watford;Relatório da Partida;2019;2;1
2020-01-21;Sheffield Utd;0–1;Manchester City;Relatório da Partida;2019;0;1
2020-01-21;Bournemouth;3–1;Brighton;Relatório da Partida;2019;3;1
2020-01-21;Chelsea;2–2;Arsenal;Relatório da Partida;2019;2;2
2020-01-22;Leicester City;4–1;West Ham;Relatório da Partida;2019;4;1
2020-01-22;Tottenham;2–1;Norwich City;Relatório da Partida;2019;2;1
2020-01-22;Manchester Utd;0–2;Burnley;Relatório da Partida;2019;0;2
2020-01-23;Wolves;1–2;Liverpool;Relatório da Partida;2019;1;2
2020-01-29;West Ham;0–2;Liverpool;Relatório da Partida;2019;0;2
2020-02-01;Leicester City;2–2;Chelsea;Relatório da Partida;2019;2;2
2020-02-01;West Ham;3–3;Brighton;Relatório da Partida;2019;3;3
2020-02-01;Watford;2–3;Everton;Relatório da Partida;2019;2;3
2020-02-01;Crystal Palace;0–1;Sheffield Utd;Relatório da Partida;2019;0;1
2020-02-01;Liverpool;4–0;Southampton;Relatório da Partida;2019;4;0
2020-02-01;Bournemouth;2–1;Aston Villa;Relatório da Partida;2019;2;1
2020-02-01;Newcastle Utd;0–0;Norwich City;Relatório da Partida;2019;0;0
2020-02-01;Manchester Utd;0–0;Wolves;Relatório da Partida;2019;0;0
2020-02-02;Burnley;0–0;Arsenal;Relatório da Partida;2019;0;0
2020-02-02;Tottenham;2–0;Manchester City;Relatório da Partida;2019;2;0
2020-02-08;Everton;3–1;Crystal Palace;Relatório da Partida;2019;3;1
2020-02-08;Brighton;1–1;Watford;Relatório da Partida;2019;1;1
2020-02-09;Sheffield Utd;2–1;Bournemouth;Relatório da Partida;2019;2;1
2020-02-14;Wolves;0–0;Leicester City;Relatório da Partida;2019;0;0
2020-02-15;Southampton;1–2;Burnley;Relatório da Partida;2019;1;2
2020-02-15;Norwich City;0–1;Liverpool;Relatório da Partida;2019;0;1
2020-02-16;Aston Villa;2–3;Tottenham;Relatório da Partida;2019;2;3
2020-02-16;Arsenal;4–0;Newcastle Utd;Relatório da Partida;2019;4;0
2020-02-17;Chelsea;0–2;Manchester Utd;Relatório da Partida;2019;0;2
2020-02-19;Manchester City;2–0;West Ham;Relatório da Partida;2019;2;0
2020-02-22;Chelsea;2–1;Tottenham;Relatório da Partida;2019;2;1
2020-02-22;Crystal Palace;1–0;Newcastle Utd;Relatório da Partida;2019;1;0
2020-02-22;Southampton;2–0;Aston Villa;Relatório da Partida;2019;2;0
2020-02-22;Burnley;3–0;Bournemouth;Relatório da Partida;2019;3;0
2020-02-22;Sheffield Utd;1–1;Brighton;Relatório da Partida;2019;1;1
2020-02-22;Leicester City;0–1;Manchester City;Relatório da Partida;2019;0;1
2020-02-23;Wolves;3–0;Norwich City;Relatório da Partida;2019;3;0
2020-02-23;Manchester Utd;3–0;Watford;Relatório da Partida;2019;3;0
2020-02-23;Arsenal;3–2;Everton;Relatório da Partida;2019;3;2
2020-02-24;Liverpool;3–2;West Ham;Relatório da Partida;2019;3;2
2020-02-28;Norwich City;1–0;Leicester City;Relatório da Partida;2019;1;0
2020-02-29;Brighton;0–1;Crystal Palace;Relatório da Partida;2019;0;1
2020-02-29;West Ham;3–1;Southampton;Relatório da Partida;2019;3;1
2020-02-29;Bournemouth;2–2;Chelsea;Relatório da Partida;2019;2;2
2020-02-29;Newcastle Utd;0–0;Burnley;Relatório da Partida;2019;0;0
2020-02-29;Watford;3–0;Liverpool;Relatório da Partida;2019;3;0
2020-03-01;Tottenham;2–3;Wolves;Relatório da Partida;2019;2;3
2020-03-01;Everton;1–1;Manchester Utd;Relatório da Partida;2019;1;1
2020-03-07;Liverpool;2–1;Bournemouth;Relatório da Partida;2019;2;1
2020-03-07;Wolves;0–0;Brighton;Relatório da Partida;2019;0;0
2020-03-07;Crystal Palace;1–0;Watford;Relatório da Partida;2019;1;0
2020-03-07;Southampton;0–1;Newcastle Utd;Relatório da Partida;2019;0;1
2020-03-07;Arsenal;1–0;West Ham;Relatório da Partida;2019;1;0
2020-03-07;Sheffield Utd;1–0;Norwich City;Relatório da Partida;2019;1;0
2020-03-07;Burnley;1–1;Tottenham;Relatório da Partida;2019;1;1
2020-03-08;Chelsea;4–0;Everton;Relatório da Partida;2019;4;0
2020-03-08;Manchester Utd;2–0;Manchester City;Relatório da Partida;2019;2;0
2020-03-09;Leicester City;4–0;Aston Villa;Relatório da Partida;2019;4;0
2020-06-17;Aston Villa;0–0;Sheffield Utd;Relatório da Partida;2019;0;0
2020-06-17;Manchester City;3–0;Arsenal;Relatório da Partida;2019;3;0
2020-06-19;Norwich City;0–3;Southampton;Relatório da Partida;2019;0;3
2020-06-19;Tottenham;1–1;Manchester Utd;Relatório da Partida;2019;1;1
2020-06-20;Watford;1–1;Leicester City;Relatório da Partida;2019;1;1
2020-06-20;Brighton;2–1;Arsenal;Relatório da Partida;2019;2;1
2020-06-20;West Ham;0–2;Wolves;Relatório da Partida;2019;0;2
2020-06-20;Bournemouth;0–2;Crystal Palace;Relatório da Partida;2019;0;2
2020-06-21;Newcastle Utd;3–0;Sheffield Utd;Relatório da Partida;2019;3;0
2020-06-21;Aston Villa;1–2;Chelsea;Relatório da Partida;2019;1;2
2020-06-21;Everton;0–0;Liverpool;Relatório da Partida;2019;0;0
2020-06-22;Manchester City;5–0;Burnley;Relatório da Partida;2019;5;0
2020-06-23;Leicester City;0–0;Brighton;Relatório da Partida;2019;0;0
2020-06-23;Tottenham;2–0;West Ham;Relatório da Partida;2019;2;0
2020-06-24;Norwich City;0–1;Everton;Relatório da Partida;2019;0;1
2020-06-24;Wolves;1–0;Bournemouth;Relatório da Partida;2019;1;0
2020-06-24;Manchester Utd;3–0;Sheffield Utd;Relatório da Partida;2019;3;0
2020-06-24;Newcastle Utd;1–1;Aston Villa;Relatório da Partida;2019;1;1
2020-06-24;Liverpool;4–0;Crystal Palace;Relatório da Partida;2019;4;0
2020-06-25;Southampton;0–2;Arsenal;Relatório da Partida;2019;0;2
2020-06-25;Burnley;1–0;Watford;Relatório da Partida;2019;1;0
2020-06-25;Chelsea;2–1;Manchester City;Relatório da Partida;2019;2;1
2020-06-27;Aston Villa;0–1;Wolves;Relatório da Partida;2019;0;1
2020-06-28;Watford;1–3;Southampton;Relatório da Partida;2019;1;3
2020-06-29;Crystal Palace;0–1;Burnley;Relatório da Partida;2019;0;1
2020-06-30;Brighton;0–3;Manchester Utd;Relatório da Partida;2019;0;3
2020-07-01;Bournemouth;1–4;Newcastle Utd;Relatório da Partida;2019;1;4
2020-07-01;Everton;2–1;Leicester City;Relatório da Partida;2019;2;1
2020-07-01;Arsenal;4–0;Norwich City;Relatório da Partida;2019;4;0
2020-07-01;West Ham;3–2;Chelsea;Relatório da Partida;2019;3;2
2020-07-02;Sheffield Utd;3–1;Tottenham;Relatório da Partida;2019;3;1
2020-07-02;Manchester City;4–0;Liverpool;Relatório da Partida;2019;4;0
2020-07-04;Norwich City;0–1;Brighton;Relatório da Partida;2019;0;1
2020-07-04;Leicester City;3–0;Crystal Palace;Relatório da Partida;2019;3;0
2020-07-04;Manchester Utd;5–2;Bournemouth;Relatório da Partida;2019;5;2
2020-07-04;Wolves;0–2;Arsenal;Relatório da Partida;2019;0;2
2020-07-04;Chelsea;3–0;Watford;Relatório da Partida;2019;3;0
2020-07-05;Burnley;1–1;Sheffield Utd;Relatório da Partida;2019;1;1
2020-07-05;Newcastle Utd;2–2;West Ham;Relatório da Partida;2019;2;2
2020-07-05;Liverpool;2–0;Aston Villa;Relatório da Partida;2019;2;0
2020-07-05;Southampton;1–0;Manchester City;Relatório da Partida;2019;1;0
2020-07-06;Tottenham;1–0;Everton;Relatório da Partida;2019;1;0
2020-07-07;Crystal Palace;2–3;Chelsea;Relatório da Partida;2019;2;3
2020-07-07;Watford;2–1;Norwich City;Relatório da Partida;2019;2;1
2020-07-07;Arsenal;1–1;Leicester City;Relatório da Partida;2019;1;1
2020-07-08;Manchester City;5–0;Newcastle Utd;Relatório da Partida;2019;5;0
2020-07-08;West Ham;0–1;Burnley;Relatório da Partida;2019;0;1
2020-07-08;Sheffield Utd;1–0;Wolves;Relatório da Partida;2019;1;0
2020-07-08;Brighton;1–3;Liverpool;Relatório da Partida;2019;1;3
2020-07-09;Everton;1–1;Southampton;Relatório da Partida;2019;1;1
2020-07-09;Bournemouth;0–0;Tottenham;Relatório da Partida;2019;0;0
2020-07-09;Aston Villa;0–3;Manchester Utd;Relatório da Partida;2019;0;3
2020-07-11;Norwich City;0–4;West Ham;Relatório da Partida;2019;0;4
2020-07-11;Watford;2–1;Newcastle Utd;Relatório da Partida;2019;2;1
2020-07-11;Liverpool;1–1;Burnley;Relatório da Partida;2019;1;1
2020-07-11;Sheffield Utd;3–0;Chelsea;Relatório da Partida;2019;3;0
2020-07-11;Brighton;0–5;Manchester City;Relatório da Partida;2019;0;5
2020-07-12;Wolves;3–0;Everton;Relatório da Partida;2019;3;0
2020-07-12;Aston Villa;2–0;Crystal Palace;Relatório da Partida;2019;2;0
2020-07-12;Tottenham;2–1;Arsenal;Relatório da Partida;2019;2;1
2020-07-12;Bournemouth;4–1;Leicester City;Relatório da Partida;2019;4;1
2020-07-13;Manchester Utd;2–2;Southampton;Relatório da Partida;2019;2;2
2020-07-14;Chelsea;1–0;Norwich City;Relatório da Partida;2019;1;0
2020-07-15;Newcastle Utd;1–3;Tottenham;Relatório da Partida;2019;1;3
2020-07-15;Burnley;1–1;Wolves;Relatório da Partida;2019;1;1
2020-07-15;Manchester City;2–1;Bournemouth;Relatório da Partida;2019;2;1
